,GAP
696,1340.0
697,1304.0
698,1269.0
699,1261.0
700,1257.0
701,1254.0
702,1253.0
703,1226.0
704,1216.0
705,1176.0
706,1158.0
707,1135.0
708,1118.0
709,1020.0
710,1003.0
711,993.0
712,961.0
713,940.0
714,925.0
715,918.0
716,901.0
717,900.0
718,863.0
719,860.0
720,850.0
721,845.0
722,822.0
723,816.0
724,803.0
725,770.0
726,765.0
727,737.0
728,704.0
729,684.0
730,627.0
731,612.0
732,603.0
733,572.0
734,558.0
735,540.0
736,510.0
737,506.0
738,482.0
739,448.0
740,425.0
741,423.0
742,420.0
743,387.0
744,386.0
745,385.0
746,385.0
747,385.0
748,371.0
749,371.0
750,366.0
751,366.0
752,360.0
753,352.0
754,351.0
755,347.0
756,342.0
757,337.0
758,334.0
759,333.0
760,328.0
761,327.0
762,324.0
763,316.0
764,307.0
765,304.0
766,304.0
767,303.0
768,303.0
769,295.0
770,269.0
771,266.0
772,260.0
773,251.0
774,248.0
775,247.0
776,240.0
777,235.0
778,231.0
779,229.0
780,208.0
781,208.0
782,189.0
783,188.0
784,179.0
785,178.0
786,176.0
787,166.0
788,165.0
789,162.0
790,161.0
791,161.0
792,161.0
793,160.0
794,159.0
795,159.0
796,159.0
797,159.0
798,156.0
799,153.0
800,153.0
801,152.0
802,149.0
803,147.0
804,147.0
805,146.0
806,144.0
807,137.0
808,137.0
809,137.0
810,136.0
811,133.0
812,132.0
813,129.0
814,129.0
815,125.0
816,124.0
817,124.0
818,122.0
819,120.0
820,118.0
821,118.0
822,118.0
823,117.0
824,115.0
825,114.0
826,114.0
827,113.0
828,113.0
829,112.0
830,111.0
831,111.0
832,111.0
833,110.0
834,110.0
835,110.0
836,109.0
837,109.0
838,109.0
839,109.0
840,108.0
841,108.0
842,108.0
843,108.0
844,108.0
845,107.0
846,106.0
847,106.0
848,106.0
849,106.0
850,106.0
851,106.0
852,105.0
853,105.0
854,105.0
855,105.0
856,105.0
857,104.0
858,104.0
859,104.0
860,104.0
861,103.0
862,103.0
863,103.0
864,103.0
865,103.0
866,103.0
867,103.0
868,103.0
869,103.0
870,102.0
871,102.0
872,102.0
873,102.0
874,102.0
875,102.0
876,102.0
877,102.0
878,102.0
879,101.0
880,101.0
881,101.0
882,101.0
883,101.0
884,101.0
885,100.0
886,100.0
887,99.0
888,99.0
889,99.0
890,99.0
891,99.0
892,99.0
893,99.0
894,98.0
895,98.0
896,98.0
897,98.0
898,98.0
899,98.0
900,98.0
901,98.0
902,97.0
903,97.0
904,97.0
905,97.0
906,97.0
907,96.0
908,96.0
909,96.0
910,96.0
911,95.0
912,95.0
913,95.0
914,95.0
915,95.0
916,94.0
917,94.0
918,94.0
919,94.0
920,94.0
921,94.0
922,93.0
923,93.0
924,93.0
925,93.0
926,92.0
927,92.0
928,92.0
929,92.0
930,92.0
931,92.0
932,91.0
933,91.0
934,91.0
935,91.0
936,90.0
937,90.0
938,90.0
939,90.0
940,90.0
941,90.0
942,89.0
943,89.0
944,89.0
945,89.0
946,89.0
947,89.0
948,89.0
949,88.0
950,88.0
951,88.0
952,88.0
953,88.0
954,88.0
955,88.0
956,87.0
957,87.0
958,87.0
959,87.0
960,87.0
961,87.0
962,87.0
963,87.0
964,87.0
965,87.0
966,86.0
967,86.0
968,86.0
969,86.0
970,86.0
971,86.0
972,86.0
973,86.0
974,86.0
975,86.0
976,86.0
977,85.0
978,85.0
979,85.0
980,85.0
981,85.0
982,85.0
983,85.0
984,85.0
985,85.0
986,85.0
987,85.0
988,85.0
989,85.0
990,85.0
991,85.0
992,84.0
993,84.0
994,84.0
995,84.0
996,84.0
997,84.0
998,84.0
999,84.0
1000,83.0
1001,83.0
1002,83.0
1003,83.0
1004,83.0
1005,83.0
1006,83.0
1007,83.0
1008,83.0
1009,83.0
1010,83.0
1011,82.0
1012,82.0
1013,82.0
1014,82.0
1015,82.0
1016,82.0
1017,82.0
1018,81.0
1019,81.0
1020,81.0
1021,80.0
1022,80.0
1023,80.0
1024,80.0
1025,80.0
1026,80.0
1027,80.0
1028,80.0
1029,80.0
1030,80.0
1031,80.0
1032,79.0
1033,79.0
1034,79.0
1035,79.0
1036,79.0
1037,79.0
1038,79.0
1039,78.0
1040,78.0
1041,78.0
1042,78.0
1043,78.0
1044,78.0
1045,78.0
1046,77.0
1047,77.0
1048,77.0
1049,77.0
1050,77.0
1051,77.0
1052,77.0
1053,76.0
1054,76.0
1055,76.0
1056,76.0
1057,76.0
1058,75.0
1059,75.0
1060,75.0
1061,75.0
1062,74.0
1063,74.0
1064,74.0
1065,74.0
1066,74.0
1067,74.0
1068,74.0
1069,74.0
1070,74.0
1071,74.0
1072,74.0
1073,73.0
1074,73.0
1075,73.0
1076,73.0
1077,73.0
1078,73.0
1079,73.0
1080,73.0
1081,73.0
1082,73.0
1083,72.0
1084,72.0
1085,72.0
1086,72.0
1087,72.0
1088,72.0
1089,72.0
1090,71.0
1091,71.0
1092,71.0
1093,71.0
1094,71.0
1095,71.0
1096,71.0
1097,71.0
1098,71.0
1099,71.0
1100,71.0
1101,71.0
1102,70.0
1103,70.0
1104,70.0
1105,70.0
1106,69.0
1107,69.0
1108,69.0
1109,68.0
1110,68.0
1111,68.0
1112,68.0
1113,68.0
1114,68.0
1115,68.0
1116,67.0
1117,67.0
1118,67.0
1119,67.0
1120,67.0
1121,67.0
1122,67.0
1123,67.0
1124,67.0
1125,66.0
